
2024/04/25 (11:44:11) | ===> btop++ v.1.3.2
2024/04/25 (11:44:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/25 (11:45:23) | ===> btop++ v.1.3.2
2024/04/25 (11:45:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/25 (11:47:04) | ===> btop++ v.1.3.2
2024/04/25 (11:47:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/25 (16:14:48) | ===> btop++ v.1.3.2
2024/04/25 (16:14:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/25 (16:16:39) | ===> btop++ v.1.3.2
2024/04/25 (16:16:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/01 (16:41:12) | ===> btop++ v.1.3.2
2024/05/01 (16:41:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (12:27:55) | ===> btop++ v.1.3.2
2024/05/03 (12:27:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (12:31:50) | ===> btop++ v.1.3.2
2024/05/03 (12:31:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/07 (15:26:06) | ===> btop++ v.1.3.2
2024/05/07 (15:26:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (14:28:13) | ===> btop++ v.1.3.2
2024/05/14 (14:28:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (14:29:48) | ===> btop++ v.1.3.2
2024/05/14 (14:29:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/17 (20:09:52) | ===> btop++ v.1.3.2
2024/05/17 (20:09:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/18 (01:42:55) | ===> btop++ v.1.3.2
2024/05/18 (01:42:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/18 (13:52:39) | ===> btop++ v.1.3.2
2024/05/18 (13:52:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/19 (14:28:46) | ===> btop++ v.1.3.2
2024/05/19 (14:28:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/24 (23:28:02) | ===> btop++ v.1.3.2
2024/05/24 (23:28:02) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/24 (23:28:26) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/05/24 (23:28:33) | ===> btop++ v.1.3.2
2024/05/24 (23:28:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/25 (13:01:10) | ===> btop++ v.1.3.2
2024/05/25 (13:01:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/31 (15:09:54) | ===> btop++ v.1.3.2
2024/05/31 (15:09:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/10 (01:00:47) | ===> btop++ v.1.3.2
2024/06/10 (01:00:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/18 (21:53:13) | ===> btop++ v.1.3.2
2024/06/18 (21:53:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/20 (22:04:14) | ===> btop++ v.1.3.2
2024/06/20 (22:04:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (09:53:14) | ===> btop++ v.1.3.2
2024/06/26 (09:53:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (17:22:56) | ===> btop++ v.1.3.2
2024/06/26 (17:22:56) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/06/26 (17:23:04) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/06/26 (17:23:08) | ===> btop++ v.1.3.2
2024/06/26 (17:23:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (17:43:38) | ===> btop++ v.1.3.2
2024/06/26 (17:43:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (18:08:51) | ===> btop++ v.1.3.2
2024/06/26 (18:08:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/27 (12:48:47) | ===> btop++ v.1.3.2
2024/06/27 (12:48:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/28 (15:06:13) | ===> btop++ v.1.3.2
2024/06/28 (15:06:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/30 (12:50:25) | ===> btop++ v.1.3.2
2024/06/30 (12:50:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/30 (12:51:30) | ===> btop++ v.1.3.2
2024/06/30 (12:51:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/30 (12:52:47) | ===> btop++ v.1.3.2
2024/06/30 (12:52:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/30 (12:59:07) | ===> btop++ v.1.3.2
2024/06/30 (12:59:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/30 (12:59:36) | ===> btop++ v.1.3.2
2024/06/30 (12:59:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/30 (23:39:30) | ===> btop++ v.1.3.2
2024/06/30 (23:39:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (00:15:14) | ===> btop++ v.1.3.2
2024/07/06 (00:15:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (21:39:16) | ===> btop++ v.1.3.2
2024/07/06 (21:39:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (21:42:06) | ===> btop++ v.1.3.2
2024/07/06 (21:42:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (21:44:56) | ===> btop++ v.1.3.2
